cluster_id,medoid_id,Longitude,Latitude
52,Mid4248,-113.61824744632447,53.49756776922606
53,Mid1944,-113.41805490715403,53.48984148060954
54,Mid1827,-113.5465510240463,53.45598127544923
55,Mid3317,-113.54090951446729,53.50232795831222
56,Mid3234,-113.5165017214929,53.45146024953059
57,Mid2291,-113.4672533199346,53.58756931653887
58,Mid1628,-113.36884617807655,53.461465048671215
59,Mid3477,-113.49703403634656,53.61411682509171
60,Mid2265,-113.46718590405361,53.593769323405034
61,Mid3650,-113.6304500093127,53.5178246561495
62,Mid4409,-113.49876781209285,53.52471368740129
63,Mid226,-113.47252393729012,53.58139235573994
64,Mid2525,-113.48610517875592,53.522593145910804
65,Mid27,-113.49171190072627,53.60465913181052
66,Mid2377,-113.46685136574945,53.4622121149694
67,Mid2674,-113.57570151158292,53.425176039809
68,Mid605,-113.57835179365172,53.47281187450435
69,Mid4529,-113.56329865906424,53.54311850029831
70,Mid632,-113.4501474127632,53.56646473685192
71,Mid1993,-113.42102858797773,53.46244818165169
72,Mid3631,-113.61550965430929,53.508342229809934
73,Mid1328,-113.50426474019964,53.58485288140257
74,Mid4599,-113.38623788347957,53.59643673701506
75,Mid5412,-113.53046100794187,53.61551065256482
76,Mid1900,-113.3938022898089,53.49637067612561
77,Mid2912,-113.65077832820973,53.59615327590559
78,Mid989,-113.53852160617302,53.55093313129651
79,Mid2112,-113.46270838077434,53.49993525526508
80,Mid1816,-113.50518597808902,53.454019902906765
81,Mid4166,-113.52320537180816,53.5229265638558
82,Mid2564,-113.53495997765818,53.50500077844237
83,Mid1802,-113.58533407678529,53.45630188786398
84,Mid1790,-113.50518355083776,53.453840170019475
85,Mid4062,-113.51638827421954,53.51813658581758
86,Mid3364,-113.40594044459884,53.59770434721147
87,Mid5800,-113.59643001332594,53.509806969478404
88,Mid1338,-113.54114797272373,53.61555210002539
89,Mid4125,-113.63408349827972,53.521520090845115
90,Mid1760,-113.63960262151483,53.562692565396375
91,Mid5262,-113.51211364426582,53.53573183691821
92,Mid1454,-113.5459135335945,53.59957538068545
93,Mid2995,-113.42602600980345,53.5400223729559
94,Mid3741,-113.40154746873417,53.454354500229336
95,Mid6706,-113.58416385468756,53.53151108488059
96,Mid3030,-113.68891129736312,53.56741377653944
97,Mid2902,-113.582452275696,53.43068138285352
98,Mid2387,-113.46686591499702,53.47847708018941
99,Mid3334,-113.53593988132074,53.5645818228196
100,Mid1623,-113.36931124509289,53.51439593744938
101,Mid175,-113.57171140162508,53.59625584796422
102,Mid5456,-113.44764925015504,53.58766014359778
103,Mid4127,-113.65228907931446,53.52121497983386
104,Mid1352,-113.54134140219494,53.61555284141423
105,Mid7636,-113.57821678358334,53.485212184933516
106,Mid1172,-113.51636483548182,53.42719706524646
107,Mid5291,-113.40917210242682,53.56680853729841
108,Mid3444,-113.5779897622622,53.534634554098616
109,Mid1337,-113.54105994368037,53.600814892402376
110,Mid1848,-113.47730176503816,53.46648177066869
111,Mid1629,-113.36884492741477,53.46550882684806
112,Mid2654,-113.47695291276878,53.42514388362064
113,Mid3152,-113.44613658346447,53.54937281392565
114,Mid2009,-113.4182762482247,53.49370659062598
115,Mid6676,-113.46833779171551,53.52664904634123
116,Mid3484,-113.41029164451639,53.61587749585553
117,Mid1003,-113.60542044519332,53.55135225817431
118,Mid10,-113.41376838638807,53.59945028512616
119,Mid34,-113.4916894747281,53.61948578785381
120,Mid566,-113.71046923224372,53.541228989581995
121,Mid3347,-113.54118906187335,53.57844043618873
122,Mid5400,-113.40603445935656,53.5750601280675
123,Mid2726,-113.46269383909859,53.57245249892035
124,Mid1963,-113.4185069057614,53.53037096739853
125,Mid3820,-113.43175594131125,53.46537524837024
126,Mid1234,-113.52271850259018,53.50010005830088
127,Mid142,-113.3991462235864,53.62247165937404
128,Mid223,-113.53078302759168,53.580736422945805
129,Mid244,-113.58043759913443,53.42914667786407
130,Mid891,-113.6502174259208,53.53675468284101
131,Mid2224,-113.47290058879176,53.5179527762572
132,Mid6513,-113.45546317065664,53.60117488735459
133,Mid2144,-113.44295341366139,53.61801086716464
134,Mid4185,-113.62425845898169,53.529666872865604
135,Mid1529,-113.57798037735348,53.5654564003565
136,Mid4031,-113.44264619480612,53.428493346908986
137,Mid4598,-113.3861565471509,53.59131430839988
138,Mid199,-113.39936518476766,53.57925025217228
139,Mid219,-113.32177484416272,53.570388676602846
140,Mid3279,-113.52129399109678,53.54466508440276
141,Mid3785,-113.37347141281325,53.454030848771
142,Mid4380,-113.6328297246937,53.4889868522206
143,Mid1475,-113.4610678019109,53.59976250851366
144,Mid130,-113.39034276849671,53.64390350293568
145,Mid3559,-113.46349533827532,53.628618215130615
146,Mid571,-113.66860794514481,53.541210179266535
147,Mid608,-113.59483374652638,53.445910586322334
148,Mid3728,-113.66449946794357,53.5012110784334
149,Mid3861,-113.50985940397071,53.46679947080834
150,Mid3222,-113.51652385959903,53.445799067568025
151,Mid48,-113.49202052995065,53.604750301440504
152,Mid2369,-113.4668082095233,53.43741011088318
153,Mid2522,-113.48611832543858,53.49222028875661
154,Mid5854,-113.60882510098688,53.521350264369005
155,Mid3715,-113.66524233422324,53.49204741584997
156,Mid1882,-113.39394932659587,53.456562747789086
157,Mid4294,-113.54113871289518,53.52632155804336
158,Mid1682,-113.615530733735,53.516339851189656
159,Mid1997,-113.41827173427674,53.46782648918756
160,Mid1836,-113.520819296193,53.45399376230371
161,Mid1305,-113.52700318658059,53.556279724946315
162,Mid2956,-113.48520923494598,53.529328823114305
163,Mid1166,-113.51651145142965,53.49234709100162
164,Mid1409,-113.51045087119181,53.59943556218062
165,Mid4996,-113.47942947383123,53.47646565836684
166,Mid2969,-113.47536146237525,53.557591983568145
167,Mid3489,-113.45474163331173,53.615908528628125
168,Mid4093,-113.46590698696792,53.641029523066074
169,Mid4796,-113.48933014781723,53.6267543195511
170,Mid2211,-113.44348437442531,53.539565727777344
171,Mid2910,-113.65062878912862,53.59615283941058
172,Mid1136,-113.5185479205991,53.43745011727159
173,Mid6214,-113.41939024192659,53.47061763720657
174,Mid3759,-113.46283359223375,53.451860043066624
175,Mid2998,-113.6090225604128,53.43975743865835
176,Mid3542,-113.6027710472015,53.53552817702254
177,Mid33,-113.49168083777161,53.615801531548335
178,Mid88,-113.49203385567323,53.47598073047527
